PKAIZ	5179
name	move
bulbasaur	razor wind
bulbasaur	swords dance
bulbasaur	cut
bulbasaur	bind
bulbasaur	vine whip
bulbasaur	headbutt
bulbasaur	tackle
bulbasaur	body slam
bulbasaur	take down
bulbasaur	double-edge
bulbasaur	growl
bulbasaur	strength
bulbasaur	mega drain
bulbasaur	leech seed
bulbasaur	growth
bulbasaur	razor leaf
bulbasaur	solar beam
bulbasaur	poison powder
bulbasaur	sleep powder
bulbasaur	petal dance
bulbasaur	string shot
bulbasaur	toxic
bulbasaur	rage
bulbasaur	mimic
bulbasaur	double team
bulbasaur	defense curl
bulbasaur	light screen
bulbasaur	reflect
bulbasaur	bide
bulbasaur	sludge
bulbasaur	skull bash
bulbasaur	amnesia
bulbasaur	flash
bulbasaur	rest
bulbasaur	substitute
charmander	mega punch
charmander	fire punch
charmander	thunder punch
charmander	scratch
charmander	swords dance
charmander	cut
charmander	wing attack
charmander	mega kick
charmander	headbutt
charmander	body slam
charmander	take down
charmander	double-edge
charmander	leer
charmander	bite
charmander	growl
charmander	roar
charmander	ember
charmander	flamethrower
charmander	submission
charmander	counter
charmander	seismic toss
charmander	strength
charmander	dragon rage
charmander	fire spin
charmander	dig
charmander	toxic
charmander	rage
charmander	mimic
charmander	double team
charmander	smokescreen
charmander	defense curl
charmander	reflect
charmander	bide
charmander	fire blast
charmander	swift
charmander	skull bash
charmander	fury swipes
charmander	rest
charmander	rock slide
charmander	slash
charmander	substitute
squirtle	mega punch
squirtle	ice punch
squirtle	mega kick
squirtle	headbutt
squirtle	tackle
squirtle	body slam
squirtle	take down
squirtle	double-edge
squirtle	tail whip
squirtle	bite
squirtle	mist
squirtle	water gun
squirtle	hydro pump
squirtle	surf
squirtle	ice beam
squirtle	blizzard
squirtle	bubble beam
squirtle	submission
squirtle	counter
squirtle	seismic toss
squirtle	strength
squirtle	dig
squirtle	toxic
squirtle	confusion
squirtle	rage
squirtle	mimic
squirtle	double team
squirtle	withdraw
squirtle	defense curl
squirtle	haze
squirtle	reflect
squirtle	bide
squirtle	waterfall
squirtle	skull bash
squirtle	bubble
squirtle	rest
squirtle	rock slide
squirtle	substitute
caterpie	tackle
caterpie	string shot
weedle	poison sting
weedle	string shot
pidgey	razor wind
pidgey	gust
pidgey	wing attack
pidgey	whirlwind
pidgey	fly
pidgey	sand attack
pidgey	headbutt
pidgey	tackle
pidgey	take down
pidgey	double-edge
pidgey	toxic
pidgey	agility
pidgey	quick attack
pidgey	rage
pidgey	mimic
pidgey	double team
pidgey	reflect
pidgey	bide
pidgey	mirror move
pidgey	swift
pidgey	sky attack
pidgey	rest
pidgey	substitute
rattata	cut
rattata	headbutt
rattata	tackle
rattata	body slam
rattata	take down
rattata	double-edge
rattata	tail whip
rattata	bite
rattata	water gun
rattata	ice beam
rattata	blizzard
rattata	bubble beam
rattata	counter
rattata	thunderbolt
rattata	thunder wave
rattata	thunder
rattata	dig
rattata	toxic
rattata	quick attack
rattata	rage
rattata	mimic
rattata	screech
rattata	double team
rattata	defense curl
rattata	focus energy
rattata	bide
rattata	swift
rattata	skull bash
rattata	fury swipes
rattata	rest
rattata	hyper fang
rattata	super fang
rattata	substitute
spearow	razor wind
spearow	wing attack
spearow	whirlwind
spearow	fly
spearow	headbutt
spearow	fury attack
spearow	take down
spearow	double-edge
spearow	leer
spearow	growl
spearow	peck
spearow	drill peck
spearow	toxic
spearow	agility
spearow	quick attack
spearow	rage
spearow	mimic
spearow	double team
spearow	focus energy
spearow	bide
spearow	mirror move
spearow	swift
spearow	sky attack
spearow	rest
spearow	tri attack
spearow	substitute
ekans	bind
ekans	slam
ekans	headbutt
ekans	body slam
ekans	wrap
ekans	take down
ekans	double-edge
ekans	poison sting
ekans	leer
ekans	bite
ekans	disable
ekans	acid
ekans	strength
ekans	mega drain
ekans	earthquake
ekans	fissure
ekans	dig
ekans	toxic
ekans	rage
ekans	mimic
ekans	screech
ekans	double team
ekans	haze
ekans	bide
ekans	skull bash
ekans	glare
ekans	leech life
ekans	rest
ekans	rock slide
ekans	substitute
sandshrew	scratch
sandshrew	swords dance
sandshrew	cut
sandshrew	sand attack
sandshrew	headbutt
sandshrew	body slam
sandshrew	take down
sandshrew	double-edge
sandshrew	poison sting
sandshrew	submission
sandshrew	low kick
sandshrew	counter
sandshrew	seismic toss
sandshrew	strength
sandshrew	earthquake
sandshrew	fissure
sandshrew	dig
sandshrew	toxic
sandshrew	agility
sandshrew	rage
sandshrew	mimic
sandshrew	double team
sandshrew	defense curl
sandshrew	bide
sandshrew	swift
sandshrew	skull bash
sandshrew	amnesia
sandshrew	leech life
sandshrew	fury swipes
sandshrew	rest
sandshrew	rock slide
sandshrew	super fang
