PKAIM	165							Buff, self										Debuff, Enemy									Ailment					Ailment, Volatile								
Name	Type	PP	P.Accuracy	Power	Damage	Target	Priority	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	S.Accuracy	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	Burn	Freeze	Paralysis	Poison	Sleep	Confusion	Flinch	Identify	Infatuation	Lock On	Nightmare	P. Trap	Other	Description
Absorb	Grass	25	100	20																																				User recovers half the HP inflicted on opponent.
Acid	Poison	30	100	40																																				May lower opponent's Special Defense.
Acid Armor	Poison	20	—	—																																				Sharply raises user's Defense.
Agility	Psychic	30	—	—																																				Sharply raises user's Speed.
Amnesia	Psychic	20	—	—																																				Sharply raises user's Special Defense.
Aurora Beam	Ice	20	100	65																																				May lower opponent's Attack.
Barrage	Normal	20	85	15																																				Hits 2-5 times in one turn.
Barrier	Psychic	20	—	—																																				Sharply raises user's Defense.
Bide	Normal	10	—	—																																				User takes damage for two turns then strikes back double.
Bind	Normal	20	85	15																																				Traps opponent, damaging them for 4-5 turns.
Bite	Dark	25	100	60																																				May cause flinching.
Blizzard	Ice	5	70	110																																				May freeze opponent.
Body Slam	Normal	15	100	85																																				May paralyze opponent.
Bone Club	Ground	20	85	65																																				May cause flinching.
Bonemerang	Ground	10	90	50																																				Hits twice in one turn.
Bubble	Water	30	100	40																																				May lower opponent's Speed.
Bubble Beam	Water	20	100	65																																				May lower opponent's Speed.
Clamp	Water	15	85	35																																				Traps opponent, damaging them for 4-5 turns.
Comet Punch	Normal	15	85	18																																				Hits 2-5 times in one turn.
Confuse Ray	Ghost	10	100	—																																				Confuses opponent.
Confusion	Psychic	25	100	50																																				May confuse opponent.
Constrict	Normal	35	100	10																																				May lower opponent's Speed by one stage.
Conversion	Normal	30	—	—																																				Changes user's type to that of its first move.
Counter	Fighting	20	100	—																																				When hit by a Physical Attack, user strikes back with 2x power.
Crabhammer	Water	10	90	100																																				High critical hit ratio.
Cut	Normal	30	95	50																																				
Defense Curl	Normal	40	—	—																																				Raises user's Defense.
