PKAIS	151										
Name	Type	Type2	Atk	Sp Atk	Def	Sp Def	Spd	Hp	Weight (kg)	Ability 1	Ability 2
Abra	Psychic	None	20	105	15	55	90	25	19.5	---	---
Aerodactyl	Rock	Flying	105	60	65	75	130	80	59	---	---
Alakazam	Psychic	None	50	135	45	95	120	55	48	---	---
Arbok	Poison	None	95	65	69	79	80	60	65	---	---
Arcanine	Fire	None	110	100	80	80	95	90	155	---	---
Articuno	Ice	Flying	85	95	100	125	85	90	55.4	---	---
Beedrill	Bug	Poison	90	45	40	80	75	65	29.5	---	---
Bellsprout	Grass	Poison	75	70	35	30	40	50	4	---	---
Blastoise	Water	None	83	85	100	105	78	79	85.5	---	---
Bulbasaur	Grass	Poison	49	65	49	65	45	45	6.9	---	---
Butterfree	Bug	Flying	45	90	50	80	70	60	32	---	---
Caterpie	Bug	None	30	20	35	20	45	45	2.9	---	---
Chansey	Normal	None	5	35	5	105	50	250	34.6	---	---
Charizard	Fire	Flying	84	109	78	85	100	78	90.5	---	---
Charmander	Fire	None	52	60	43	50	65	39	8.5	---	---
Charmeleon	Fire	None	64	80	58	65	80	58	19	---	---
Clefable	Normal	None	70	95	73	90	60	95	40	---	---
Clefairy	Normal	None	45	60	48	65	35	70	7.5	---	---
Cloyster	Water	Ice	95	85	180	45	70	50	132.5	---	---
Cubone	Ground	None	50	40	95	50	35	50	6.5	---	---
Dewgong	Water	Ice	70	70	80	95	70	90	120	---	---
Diglett	Ground	None	55	35	25	45	95	10	0.8	---	---
Ditto	Normal	None	48	48	48	48	48	48	4	---	---
Dodrio	Normal	Flying	110	60	70	60	110	60	85.2	---	---
Doduo	Normal	Flying	85	35	45	35	75	35	39.2	---	---
Dragonair	Dragon	None	84	70	65	70	70	61	16.5	---	---
Dragonite	Dragon	Flying	134	100	95	100	80	91	210	---	---
Dratini	Dragon	None	64	50	45	50	50	41	3.3	---	---
Drowzee	Psychic	None	48	43	45	90	42	60	32.4	---	---
Dugtrio	Ground	None	100	50	50	70	120	35	33.3	---	---
Eevee	Normal	None	55	45	50	65	55	55	6.5	---	---
Ekans	Poison	None	60	40	44	54	55	35	6.9	---	---
Electabuzz	Electric	None	83	95	57	85	105	65	30	---	---
Electrode	Electric	None	50	80	70	80	150	60	66.6	---	---
Exeggcute	Grass	Psychic	40	60	80	45	40	60	2.5	---	---
Exeggutor	Grass	Psychic	95	125	85	75	55	95	120	---	---
Farfetch'd	Normal	Flying	90	58	55	62	60	52	15	---	---
Fearow	Normal	Flying	90	61	65	61	100	65	38	---	---
Flareon	Fire	None	130	95	60	110	65	65	25	---	---
Gastly	Ghost	Poison	35	100	30	35	80	30	0.1	---	---
Gengar	Ghost	Poison	65	130	60	75	110	60	40.5	---	---
Geodude	Rock	Ground	80	30	100	30	20	40	20	---	---
Gloom	Grass	Poison	65	85	70	75	40	60	8.6	---	---
Golbat	Poison	Flying	80	65	70	75	90	75	55	---	---
Goldeen	Water	None	67	35	60	50	63	45	15	---	---
Golduck	Water	None	82	95	78	80	85	80	76.6	---	---
Golem	Rock	Ground	120	55	130	65	45	80	300	---	---
Graveler	Rock	Ground	95	45	115	45	35	55	105	---	---
Grimer	Poison	None	80	40	50	50	25	80	30	---	---
Growlithe	Fire	None	70	70	45	50	60	55	19	---	---
Gyarados	Water	Flying	125	60	79	100	81	95	235	---	---
Haunter	Ghost	Poison	50	115	45	55	95	45	0.1	---	---
Hitmonchan	Fighting	None	105	35	79	110	76	50	50.2	---	---
Hitmonlee	Fighting	None	120	35	53	110	87	50	49.8	---	---
Horsea	Water	None	40	70	70	25	60	30	8	---	---
Hypno	Psychic	None	73	73	70	115	67	85	75.6	---	---
