PKAIT	16															
Type	Normal	Fire	Water	Electric	Grass	Ice	Fighting	Poison	Ground	Flying	Psychic	Bug	Rock	Ghost	Dragon	None
Normal	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0	1	1
Fire	1	0.5	0.5	1	2	2	1	1	1	1	1	2	0.5	1	0.5	1
Water	1	2	0.5	1	0.5	1	1	1	2	1	1	1	2	1	0.5	1
Electric	1	1	2	0.5	0.5	1	1	1	0	2	1	1	1	1	0.5	1
Grass	1	0.5	2	1	0.5	1	1	0.5	2	0.5	1	0.5	2	1	0.5	1
Ice	1	1	0.5	1	2	0.5	1	1	2	2	1	1	1	1	2	1
Fighting	2	1	1	1	1	2	1	0.5	1	0.5	0.5	0.5	2	0	1	1
Poison	1	1	1	1	2	1	1	0.5	0.5	1	1	2	0.5	0.5	1	1
Ground	1	2	1	2	0.5	1	1	2	1	0	1	0.5	2	1	1	1
Flying	1	1	1	0.5	2	1	2	1	1	1	1	2	0.5	1	1	1
Psychic	1	1	1	1	1	1	2	2	1	1	0.5	1	1	1	1	1
Bug	1	0.5	1	1	2	1	0.5	2	1	0.5	2	1	1	0.5	1	1
Rock	1	2	1	1	1	2	0.5	1	0.5	2	1	2	1	1	1	1
Ghost	0	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1
Dragon	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
None	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
