PKAIZ	33982
name	move
Abomasnow	attract
Abomasnow	avalanche
Abomasnow	blizzard
Abomasnow	block
Abomasnow	brick break
Abomasnow	bullet seed
Abomasnow	captivate
Abomasnow	double team
Abomasnow	double-edge
Abomasnow	earthquake
Abomasnow	endure
Abomasnow	energy ball
Abomasnow	facade
Abomasnow	flash
Abomasnow	fling
Abomasnow	focus blast
Abomasnow	focus punch
Abomasnow	frustration
Abomasnow	giga drain
Abomasnow	giga impact
Abomasnow	grass knot
Abomasnow	grasswhistle
Abomasnow	growth
Abomasnow	hail
Abomasnow	headbutt
Abomasnow	hidden power
Abomasnow	hyper beam
Abomasnow	ice beam
Abomasnow	ice punch
Abomasnow	ice shard
Abomasnow	icy wind
Abomasnow	ingrain
Abomasnow	iron tail
Abomasnow	leech seed
Abomasnow	leer
Abomasnow	light screen
Abomasnow	magic coat
Abomasnow	magical leaf
Abomasnow	mist
Abomasnow	mud-slap
Abomasnow	natural gift
Abomasnow	outrage
Abomasnow	powder snow
Abomasnow	protect
Abomasnow	rain dance
Abomasnow	razor leaf
Abomasnow	rest
Abomasnow	return
Abomasnow	rock climb
Abomasnow	rock slide
Abomasnow	rock smash
Abomasnow	rock tomb
Abomasnow	safeguard
Abomasnow	secret power
Abomasnow	seed bomb
Abomasnow	shadow ball
Abomasnow	sheer cold
Abomasnow	skull bash
Abomasnow	sleep talk
Abomasnow	snore
Abomasnow	solarbeam
Abomasnow	stomp
Abomasnow	strength
Abomasnow	substitute
Abomasnow	swagger
Abomasnow	swords dance
Abomasnow	synthesis
Abomasnow	toxic
Abomasnow	water pulse
Abomasnow	wood hammer
Abomasnow	worry seed
Abra	attract
Abra	barrier
Abra	body slam
Abra	calm mind
Abra	captivate
Abra	charge beam
Abra	counter
Abra	double team
Abra	double-edge
Abra	drain punch
Abra	dream eater
Abra	dynamicpunch
Abra	embargo
Abra	encore
Abra	endure
Abra	energy ball
Abra	facade
Abra	fire punch
Abra	flash
Abra	fling
Abra	focus punch
Abra	frustration
Abra	grass knot
Abra	gravity
Abra	guard swap
Abra	headbutt
Abra	hidden power
Abra	ice punch
Abra	iron tail
Abra	knock off
Abra	light screen
Abra	magic coat
Abra	mega kick
Abra	mega punch
Abra	metronome
Abra	mimic
Abra	natural gift
Abra	nightmare
Abra	power trick
Abra	protect
Abra	psych up
Abra	psychic
Abra	rain dance
Abra	recycle
Abra	reflect
Abra	rest
Abra	return
Abra	role play
Abra	safeguard
Abra	secret power
Abra	seismic toss
Abra	shadow ball
Abra	shock wave
Abra	signal beam
Abra	skill swap
Abra	sleep talk
Abra	snatch
Abra	snore
Abra	substitute
Abra	sunny day
Abra	swagger
Abra	taunt
Abra	teleport
Abra	thief
Abra	thunder wave
Abra	thunderpunch
Abra	torment
Abra	toxic
Abra	trick
Abra	trick room
Abra	zen headbutt
Absol	aerial ace
Absol	assurance
Absol	attract
Absol	baton pass
Absol	bite
Absol	blizzard
Absol	body slam
Absol	calm mind
Absol	captivate
Absol	charge beam
Absol	counter
Absol	curse
Absol	cut
Absol	dark pulse
Absol	detect
Absol	double team
Absol	double-edge
Absol	dream eater
Absol	endure
Absol	facade
Absol	faint attack
Absol	false swipe
Absol	fire blast
Absol	flamethrower
Absol	flash
Absol	frustration
Absol	fury cutter
Absol	future sight
Absol	giga impact
Absol	hail
Absol	headbutt
Absol	hidden power
Absol	hyper beam
Absol	ice beam
Absol	icy wind
Absol	iron tail
Absol	knock off
Absol	leer
Absol	magic coat
Absol	me first
Absol	mean look
Absol	megahorn
Absol	mimic
Absol	mud-slap
Absol	natural gift
Absol	night slash
Absol	nightmare
Absol	payback
Absol	perish song
Absol	protect
Absol	psych up
Absol	psycho cut
Absol	punishment
Absol	pursuit
Absol	quick attack
Absol	rain dance
Absol	razor wind
Absol	rest
Absol	return
Absol	rock slide
Absol	rock smash
Absol	rock tomb
Absol	role play
Absol	sandstorm
Absol	scratch
Absol	secret power
Absol	shadow ball
Absol	shadow claw
Absol	shock wave
Absol	slash
Absol	sleep talk
Absol	snatch
Absol	snore
Absol	spite
Absol	stone edge
Absol	strength
Absol	substitute
Absol	sucker punch
Absol	sunny day
Absol	swagger
Absol	swift
Absol	swords dance
Absol	taunt
Absol	thief
Absol	thunder
Absol	thunder wave
Absol	thunderbolt
Absol	torment
Absol	toxic
Absol	water pulse
Absol	will-o-wisp
Absol	wish
Absol	x-scissor
Absol	zen headbutt
Aerodactyl	aerial ace
Aerodactyl	agility
Aerodactyl	air cutter
Aerodactyl	ancientpower
Aerodactyl	aqua tail
Aerodactyl	assurance
Aerodactyl	attract
Aerodactyl	bite
Aerodactyl	captivate
Aerodactyl	crunch
Aerodactyl	curse
Aerodactyl	defog
Aerodactyl	double team
Aerodactyl	double-edge
Aerodactyl	dragon claw
Aerodactyl	dragon pulse
Aerodactyl	dragonbreath
Aerodactyl	earth power
Aerodactyl	earthquake
Aerodactyl	endure
Aerodactyl	facade
Aerodactyl	fire blast
Aerodactyl	fire fang
Aerodactyl	flamethrower
Aerodactyl	fly
Aerodactyl	foresight
Aerodactyl	frustration
Aerodactyl	giga impact
Aerodactyl	headbutt
Aerodactyl	heat wave
Aerodactyl	hidden power
Aerodactyl	hyper beam
Aerodactyl	ice fang
Aerodactyl	iron head
Aerodactyl	iron tail
Aerodactyl	mimic
Aerodactyl	natural gift
Aerodactyl	ominous wind
Aerodactyl	payback
Aerodactyl	protect
Aerodactyl	pursuit
Aerodactyl	rain dance
Aerodactyl	rest
Aerodactyl	return
Aerodactyl	roar
Aerodactyl	rock polish
Aerodactyl	rock slide
Aerodactyl	rock smash
Aerodactyl	rock tomb
Aerodactyl	roost
Aerodactyl	sandstorm
Aerodactyl	scary face
Aerodactyl	secret power
Aerodactyl	sky attack
Aerodactyl	sleep talk
Aerodactyl	snore
Aerodactyl	stealth rock
Aerodactyl	steel wing
Aerodactyl	stone edge
Aerodactyl	strength
Aerodactyl	substitute
Aerodactyl	sunny day
Aerodactyl	supersonic
Aerodactyl	swagger
Aerodactyl	swift
Aerodactyl	tailwind
Aerodactyl	take down
Aerodactyl	taunt
Aerodactyl	thief
Aerodactyl	thunder fang
Aerodactyl	torment
Aerodactyl	toxic
Aerodactyl	twister
Aerodactyl	whirlwind
Aerodactyl	wing attack
Aggron	aerial ace
Aggron	ancientpower
Aggron	aqua tail
Aggron	attract
Aggron	avalanche
Aggron	blizzard
Aggron	block
Aggron	body slam
Aggron	brick break
Aggron	captivate
Aggron	counter
Aggron	curse
Aggron	cut
Aggron	dark pulse
Aggron	defense curl
Aggron	dig
Aggron	double team
Aggron	double-edge
Aggron	dragon claw
Aggron	dragon pulse
Aggron	dragon rush
Aggron	dynamicpunch
Aggron	earth power
Aggron	earthquake
Aggron	endeavor
Aggron	endure
Aggron	facade
Aggron	fire blast
Aggron	fire punch
