PKAIM	383							"Buff, self"										"Debuff, Enemy"									Ailment					"Ailment, Volatile"								
Name	Type	PP	P.Accuracy	Power	Damage	Target	Priority	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	S.Accuracy	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	Burn	Freeze	Paralysis	Poison	Sleep	Confusion	Flinch	Identify	Infatuation	Lock On	Nightmare	P. Trap	Other	Description
absorb	Grass	25	100	20	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,.50*dmgInflicted)"	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
acid armor	Poison	40	---	---	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
acupressure	Normal	30	---	---	0	2	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FailIf(target.hasSubstitute);!ACUPRESSURE	"The user applies pressure to stress points, sharply boosting one of its stats."
aerial ace	Flying	20	100	60	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Always-Hits	"The user confounds the foe with speed, then slashes. The attack lands without fail."
agility	Psychic	30	---	---	0	0	0	0	0	0	0	2	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
air cutter	Flying	25	95	55	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The user launches razorlike wind to slash the foe. It has a high critical-hit ratio.
air slash	Flying	20	95	75	2	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
amnesia	Psychic	20	---	---	0	0	0	0	0	0	2	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.
ancientpower	Rock	5	100	60	2	1	0	1	1	1	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user attacks with a prehistoric power. It may also raise all the user's stats at once.
aqua jet	Water	20	100	40	1	1	1	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user lunges at the foe at a speed that makes it almost invisible. It is sure to strike first.
aqua ring	Water	20	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Regen(self,0.083*self.maxHP,Infinite)"	The user envelops itself in a veil made of water. It regains some HP on every turn.
aqua tail	Water	10	90	90	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
aromatherapy	Grass	5	---	---	0	4	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cure-ailments	The user releases a soothing scent that heals all status problems affecting the user's party.
assist	Normal	20	---	---	0	Var	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	useMove(rand()*moves(2))	The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
assurance	Dark	10	100	50	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(target.InjuredThisTurn,200%*self.dmg)"	"If the foe has already taken some damage in the same turn, this attack's power is doubled."
astonish	Ghost	15	100	30	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user attacks the foe while shouting in a startling fashion. It may also make the target flinch.
attack order	Bug	15	100	90	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The user calls out its underlings to pummel the foe. It has a high critical-hit ratio.
attract	Normal	15	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	---	"If it is the opposite gender of the user, the foe becomes infatuated and less likely to attack."
aura sphere	Fighting	20	100	90	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Always-Hits	The user looses a blast of aura power from deep within its body. This move is certain to hit.
avalanche	Ice	10	100	60	1	1	-4	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(self.InjuredThisTurn,200%*self.dmg)"	An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.
barrier	Psychic	30	---	---	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user throws up a sturdy wall that sharply raises its Defense stat.
baton pass	Normal	40	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!BATON-PASS	"The user switches places with a party Pokémon in waiting, passing along any stat changes."
beat up	Dark	10	100	10	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(numAlliesAlive,100%)"	"The user gets all the party Pokémon to attack the foe. The more party Pokémon, the more damage."
belly drum	Normal	10	---	---	0	0	0	12	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(self.%HP < 51);SetHP(self,-.5*self.MAXHP)"	The user maximizes its Attack stat in exchange for HP equal to half its max HP.
bite	Dark	25	100	60	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The foe is bitten with viciously sharp fangs. It may make the target flinch.
blast burn	Fire	5	90	150	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,flinch,1)"	"The foe is razed by a fiery explosion. The user must rest on the next turn, however."
