PKAIS	505										
Name	Type1	Type2	Atk	Sp Atk	Def	Sp Def	Spd	Hp	Weight (kg)	Ability 1	Ability 2
Abomasnow	Ice	Grass	92	92	75	85	60	90	135.5	Snow Warning	---
Abra	Psychic	None	20	105	15	55	90	25	19.5	Synchronize	Inner Focus
Absol	Dark	None	130	75	60	60	75	65	47	Pressure	Super Luck
Aerodactyl	Rock	Flying	105	60	65	75	130	80	59	Pressure	Rock Head
Aggron	Steel	Rock	110	60	180	60	50	70	360	Sturdy	Rock Head
Aipom	Normal	None	70	40	55	55	85	55	11.5	Run Away	Pickup
Alakazam	Psychic	None	50	135	45	85	120	55	48	Synchronize	Inner Focus
Altaria	Dragon	Flying	70	70	90	105	80	75	20.6	Natural Cure	---
Ambipom	Normal	None	100	60	66	66	115	75	20.3	Pickup	Technician
Ampharos	Electric	None	75	115	75	90	55	90	61.5	Static	---
Anorith	Rock	Bug	95	40	50	50	75	45	12.5	Battle Armor	---
Arbok	Poison	None	85	65	69	79	80	60	65	Intimidate	Shed Skin
Arcanine	Fire	None	110	100	80	80	95	90	155	Flash Fire	Intimidate
Arceus	Normal	None	120	120	120	120	120	120	320	Multitype	---
Ariados	Bug	Poison	90	60	70	60	40	70	33.5	Insomnia	Swarm
Armaldo	Rock	Bug	125	70	100	80	45	75	68.2	Battle Armor	---
Aron	Steel	Rock	70	40	100	40	30	50	60	Sturdy	Rock Head
Articuno	Ice	Flying	85	95	100	125	85	90	55.4	Pressure	---
Azelf	Psychic	None	125	125	70	70	115	75	0.3	Levitate	---
Azumarill	Water	None	50	50	80	80	50	100	28.5	Huge Power	Thick Fat
Azurill	Normal	None	20	20	40	40	20	50	2	Huge Power	Thick Fat
Bagon	Dragon	None	75	40	60	30	50	45	42.1	Rock Head	---
Baltoy	Ground	Psychic	40	40	55	70	55	40	21.5	Levitate	---
Banette	Ghost	None	115	83	65	63	65	64	12.5	Insomnia	Frisk
Barboach	Water	Ground	48	46	43	41	60	50	1.9	Oblivious	Anticipation
Bastiodon	Rock	Steel	52	47	168	138	30	60	149.5	Sturdy	---
Bayleef	Grass	None	62	63	80	80	60	60	15.8	Overgrow	---
Beautifly	Bug	Flying	70	90	50	50	65	60	28.4	Swarm	---
Beedrill	Bug	Poison	80	45	40	80	75	65	29.5	Swarm	---
Beldum	Steel	Psychic	55	35	80	60	30	40	95.2	Clear Body	---
Bellossom	Grass	None	80	90	85	100	50	75	5.8	Chlorophyll	---
Bellsprout	Grass	Poison	75	70	35	30	40	50	4	Chlorophyll	---
Bibarel	Normal	Water	85	55	60	60	71	79	31.5	Simple	Unaware
Bidoof	Normal	None	45	35	40	40	31	59	20	Simple	Unaware
Blastoise	Water	None	83	85	100	105	78	79	85.5	Torrent	---
Blaziken	Fire	Fighting	120	110	70	70	80	80	52	Blaze	---
Blissey	Normal	None	10	75	10	135	55	255	46.8	Natural Cure	Serene Grace
Bonsly	Rock	None	80	10	95	45	10	50	15	Sturdy	Rock Head
Breloom	Grass	Fighting	130	60	80	60	70	60	39.2	Effect Spore	Poison Heal
Bronzong	Steel	Psychic	89	79	116	116	33	67	187	Levitate	Heatproof
Bronzor	Steel	Psychic	24	24	86	86	23	57	60.5	Levitate	Heatproof
Budew	Grass	Poison	30	50	35	70	55	40	1.2	Natural Cure	Poison Point
Buizel	Water	None	65	60	35	30	85	55	29.5	Swift Swim	---
Bulbasaur	Grass	Poison	49	65	49	65	45	45	6.9	Overgrow	---
Buneary	Normal	None	66	44	44	56	85	55	5.5	Run Away	Klutz
Burmy	Bug	None	29	29	45	45	36	40	3.4	Shed Skin	---
Butterfree	Bug	Flying	45	80	50	80	70	60	32	Compoundeyes	---
Cacnea	Grass	None	85	85	40	40	35	50	51.3	Sand Veil	---
Cacturne	Grass	Dark	115	115	60	60	55	70	77.4	Sand Veil	---
Camerupt	Fire	Ground	100	105	70	75	40	70	220	Magma Armor	Solid Rock
Carnivine	Grass	None	100	90	72	72	46	74	27	Levitate	---
Carvanha	Water	Dark	90	65	20	20	65	45	20.8	Rough Skin	---
Cascoon	Bug	Poison	35	25	55	25	15	50	11.5	Shed Skin	---
Castform	Normal	None	70	70	70	70	70	70	0.8	Forecast	---
Caterpie	Bug	None	30	20	35	20	45	45	2.9	Shield Dust	---
Celebi	Psychic	Grass	100	100	100	100	100	100	5	Natural Cure	---
Chansey	Normal	None	5	35	5	105	50	250	34.6	Natural Cure	Serene Grace
Charizard	Fire	Flying	84	109	78	85	100	78	90.5	Blaze	---
Charmander	Fire	None	52	60	43	50	65	39	8.5	Blaze	---
Charmeleon	Fire	None	64	80	58	65	80	58	19	Blaze	---
Chatot	Normal	Flying	65	92	45	42	91	76	1.9	Keen Eye	Tangled Feet
Cherrim	Grass	None	60	87	70	78	85	70	9.3	Flower Gift	---
Cherubi	Grass	None	35	62	45	53	35	45	3.3	Chlorophyll	---
Chikorita	Grass	None	49	49	65	65	45	45	6.4	Overgrow	---
Chimchar	Fire	None	58	58	44	44	61	44	6.2	Blaze	---
Chimecho	Psychic	None	50	95	70	80	65	65	1	Levitate	---
Chinchou	Water	Electric	38	56	38	56	67	75	12	Volt Absorb	Illuminate
Chingling	Psychic	None	30	65	50	50	45	45	0.6	Levitate	---
Clamperl	Water	None	64	74	85	55	32	35	52.5	Shell Armor	---
Claydol	Ground	Psychic	70	70	105	120	75	60	108	Levitate	---
Clefable	Normal	None	70	85	73	90	60	95	40	Cute Charm	Magic Guard
Clefairy	Normal	None	45	60	48	65	35	70	7.5	Cute Charm	Magic Guard
Cleffa	Normal	None	25	45	28	55	15	50	3	Cute Charm	Magic Guard
Cloyster	Water	Ice	95	85	180	45	70	50	132.5	Shell Armor	Skill Link
Combee	Bug	Flying	30	30	42	42	70	30	5.5	Honey Gather	---
Combusken	Fire	Fighting	85	85	60	60	55	60	19.5	Blaze	---
Corphish	Water	None	80	50	65	35	35	43	11.5	Hyper Cutter	Shell Armor
Corsola	Water	Rock	55	65	85	85	35	55	5	Natural Cure	Hustle
Cradily	Rock	Grass	81	81	97	107	43	86	60.4	Suction Cups	---
Cranidos	Rock	Psychic	125	30	40	30	58	67	31.5	Mold Breaker	---
Crawdaunt	Water	Dark	120	90	85	55	55	63	32.8	Hyper Cutter	Shell Armor
Cresselia	Psychic	None	70	75	120	130	85	120	85.6	Levitate	---
Croagunk	Poison	Fighting	61	61	40	40	50	48	23	Dry Skin	Anticipation
Crobat	Poison	Flying	90	70	80	80	130	85	75	Inner Focus	---
Croconaw	Water	None	80	59	80	63	58	65	25	Torrent	---
Cubone	Ground	None	50	40	95	50	35	50	6.5	Lightningrod	Rock Head
Cyndaquil	Fire	None	52	60	43	50	65	39	7.9	Blaze	---
Darkrai	Dark	None	90	135	90	90	125	70	50.5	Bad Dreams	---
Delcatty	Normal	None	65	55	65	55	70	70	32.6	Cute Charm	Normalize
Delibird	Ice	Flying	55	65	45	45	75	45	16	Hustle	Vital Spirit
Deoxys	Psychic	None	150	150	50	50	150	50	60.8	Pressure	---
Deoxys-A	Psychic	None	180	180	20	20	150	50	60.8	Pressure	---
Deoxys-D	Psychic	None	70	70	160	160	90	50	60.8	Pressure	---
Deoxys-S	Psychic	None	95	95	90	90	180	50	60.8	Pressure	---
Dewgong	Water	Ice	70	70	80	95	70	90	120	Thick Fat	Hydration
Dialga	Steel	Dragon	120	150	120	100	90	100	683	Pressure	---
Diglett	Ground	None	55	35	25	45	95	10	0.8	Sand Veil	Arena Trap
Ditto	Normal	None	48	48	48	48	48	48	4	Limber	---
Dodrio	Normal	Flying	110	60	70	60	100	60	85.2	Early Bird	Run Away
Doduo	Normal	Flying	85	35	45	35	75	35	39.2	Early Bird	Run Away
Donphan	Ground	None	120	60	120	60	50	90	120	Sturdy	---
Dragonair	Dragon	None	84	70	65	70	70	61	16.5	Shed Skin	---
Dragonite	Dragon	Flying	134	100	95	100	80	91	210	Inner Focus	---
Drapion	Poison	Dark	90	60	110	75	95	70	61.5	Battle Armor	Sniper
